date,nino12_sst,nino12_anom,nino3_sst,nino3_anom,nino34_sst,nino34_anom,nino4_sst,nino4_anom,sst_source,oni_anom,enso_phase
1981-01-01,22.766,-1.003,25.076,-0.385,26.392,-0.175,28.335,-0.085,monthly_ersst5_interp,-0.27,neutral
1981-01-02,22.787,-1.039,25.067,-0.408,26.377,-0.188,28.324,-0.088,monthly_ersst5_interp,-0.27,neutral
1981-01-03,22.808,-1.074,25.058,-0.431,26.362,-0.201,28.314,-0.091,monthly_ersst5_interp,-0.27,neutral
1981-01-04,22.829,-1.11,25.049,-0.455,26.347,-0.215,28.304,-0.095,monthly_ersst5_interp,-0.27,neutral
1981-01-05,22.85,-1.145,25.04,-0.478,26.332,-0.228,28.293,-0.098,monthly_ersst5_interp,-0.27,neutral
1981-01-06,22.871,-1.181,25.031,-0.501,26.316,-0.241,28.283,-0.101,monthly_ersst5_interp,-0.27,neutral
1981-01-07,22.892,-1.216,25.022,-0.524,26.301,-0.254,28.273,-0.104,monthly_ersst5_interp,-0.27,neutral
1981-01-08,22.913,-1.252,25.013,-0.547,26.286,-0.267,28.262,-0.107,monthly_ersst5_interp,-0.27,neutral
1981-01-09,22.934,-1.287,25.004,-0.571,26.271,-0.281,28.252,-0.111,monthly_ersst5_interp,-0.27,neutral
1981-01-10,22.955,-1.323,24.995,-0.594,26.256,-0.294,28.242,-0.114,monthly_ersst5_interp,-0.27,neutral
1981-01-11,22.976,-1.358,24.986,-0.617,26.241,-0.307,28.231,-0.117,monthly_ersst5_interp,-0.27,neutral
1981-01-12,22.997,-1.394,24.977,-0.64,26.225,-0.32,28.221,-0.12,monthly_ersst5_interp,-0.27,neutral
1981-01-13,23.018,-1.429,24.968,-0.664,26.21,-0.334,28.211,-0.124,monthly_ersst5_interp,-0.27,neutral
1981-01-14,23.039,-1.465,24.959,-0.687,26.195,-0.347,28.2,-0.127,monthly_ersst5_interp,-0.27,neutral
1981-01-15,23.06,-1.5,24.95,-0.71,26.18,-0.36,28.19,-0.13,monthly_ersst5_interp,-0.27,neutral
1981-01-16,23.12,-1.489,24.968,-0.715,26.178,-0.369,28.185,-0.131,monthly_ersst5_interp,-0.27,neutral
1981-01-17,23.181,-1.479,24.987,-0.721,26.175,-0.378,28.179,-0.133,monthly_ersst5_interp,-0.27,neutral
1981-01-18,23.241,-1.468,25.005,-0.726,26.173,-0.387,28.174,-0.134,monthly_ersst5_interp,-0.27,neutral
1981-01-19,23.301,-1.457,25.024,-0.732,26.171,-0.396,28.168,-0.135,monthly_ersst5_interp,-0.27,neutral
1981-01-20,23.362,-1.447,25.042,-0.737,26.169,-0.405,28.163,-0.136,monthly_ersst5_interp,-0.27,neutral
1981-01-21,23.422,-1.436,25.06,-0.743,26.166,-0.414,28.157,-0.138,monthly_ersst5_interp,-0.27,neutral
1981-01-22,23.482,-1.425,25.079,-0.748,26.164,-0.423,28.152,-0.139,monthly_ersst5_interp,-0.27,neutral
1981-01-23,23.543,-1.415,25.097,-0.754,26.162,-0.432,28.146,-0.14,monthly_ersst5_interp,-0.27,neutral
1981-01-24,23.603,-1.404,25.115,-0.759,26.16,-0.441,28.141,-0.142,monthly_ersst5_interp,-0.27,neutral
1981-01-25,23.663,-1.394,25.134,-0.765,26.157,-0.45,28.135,-0.143,monthly_ersst5_interp,-0.27,neutral
1981-01-26,23.724,-1.383,25.152,-0.77,26.155,-0.459,28.13,-0.144,monthly_ersst5_interp,-0.27,neutral
1981-01-27,23.784,-1.372,25.171,-0.776,26.153,-0.468,28.124,-0.145,monthly_ersst5_interp,-0.27,neutral
1981-01-28,23.844,-1.362,25.189,-0.781,26.151,-0.477,28.119,-0.147,monthly_ersst5_interp,-0.27,neutral
1981-01-29,23.905,-1.351,25.207,-0.787,26.148,-0.486,28.113,-0.148,monthly_ersst5_interp,-0.27,neutral
1981-01-30,23.965,-1.34,25.226,-0.792,26.146,-0.495,28.108,-0.149,monthly_ersst5_interp,-0.27,neutral
1981-01-31,24.025,-1.33,25.244,-0.798,26.144,-0.505,28.102,-0.151,monthly_ersst5_interp,-0.27,neutral
1981-02-01,24.085,-1.319,25.263,-0.803,26.142,-0.514,28.097,-0.152,monthly_ersst5_interp,-0.42,neutral
1981-02-02,24.146,-1.308,25.281,-0.809,26.139,-0.523,28.091,-0.153,monthly_ersst5_interp,-0.42,neutral
1981-02-03,24.206,-1.298,25.299,-0.814,26.137,-0.532,28.086,-0.155,monthly_ersst5_interp,-0.42,neutral
1981-02-04,24.266,-1.287,25.318,-0.82,26.135,-0.541,28.08,-0.156,monthly_ersst5_interp,-0.42,neutral
1981-02-05,24.327,-1.276,25.336,-0.825,26.133,-0.55,28.075,-0.157,monthly_ersst5_interp,-0.42,neutral
1981-02-06,24.387,-1.266,25.355,-0.831,26.13,-0.559,28.069,-0.158,monthly_ersst5_interp,-0.42,neutral
1981-02-07,24.447,-1.255,25.373,-0.836,26.128,-0.568,28.064,-0.16,monthly_ersst5_interp,-0.42,neutral
1981-02-08,24.508,-1.245,25.391,-0.842,26.126,-0.577,28.058,-0.161,monthly_ersst5_interp,-0.42,neutral
1981-02-09,24.568,-1.234,25.41,-0.847,26.124,-0.586,28.053,-0.162,monthly_ersst5_interp,-0.42,neutral
1981-02-10,24.628,-1.223,25.428,-0.853,26.121,-0.595,28.047,-0.164,monthly_ersst5_interp,-0.42,neutral
