date,mean_mm,max_mm,nino12_anom,phase
1983-01-16,40.147,118.95,2.357,super_el_nino
1983-01-25,61.19,138.1,2.229,super_el_nino
1983-02-05,64.756,122.94,2.1,super_el_nino
1983-02-19,40.793,138.21,1.286,regular_el_nino
1983-03-10,51.372,102.99,1.9,regular_el_nino
1983-03-23,41.437,113.56,2.2,super_el_nino
1983-03-24,44.235,142.88,2.171,super_el_nino
1983-03-25,63.862,162.31,2.143,super_el_nino
1987-01-08,53.527,119.14,0.757,regular_el_nino
1987-02-07,54.59,110.7,0.643,regular_el_nino
1987-02-12,50.568,99.47,0.714,regular_el_nino
1987-02-14,41.178,71.05,0.743,regular_el_nino
1987-02-17,43.923,90.74,0.786,regular_el_nino
1987-03-01,44.227,134.35,0.757,regular_el_nino
1987-03-05,50.046,101.69,0.857,regular_el_nino
1987-03-25,49.192,111.27,1.0,regular_el_nino
1992-03-13,38.648,120.07,0.786,regular_el_nino
1992-03-20,48.564,147.9,1.114,regular_el_nino
1992-03-22,40.67,92.57,1.229,regular_el_nino
1992-03-25,52.025,96.18,1.4,regular_el_nino
1993-04-02,40.014,90.35,0.771,regular_el_nino
1995-02-06,133.996,238.0,0.5,regular_el_nino
1998-01-16,43.239,109.53,2.886,super_el_nino
1998-01-30,49.496,126.08,2.4,super_el_nino
1998-02-02,79.646,185.21,2.4,super_el_nino
1998-02-04,52.519,105.07,2.4,super_el_nino
1998-02-06,65.078,137.93,2.314,super_el_nino
1998-02-07,74.247,140.41,2.271,super_el_nino
1998-02-08,55.951,201.38,2.229,super_el_nino
1998-02-09,99.195,221.65,2.186,super_el_nino
1998-02-11,53.784,113.16,2.1,super_el_nino
1998-02-12,65.162,128.87,2.057,super_el_nino
1998-02-14,50.954,103.68,1.971,regular_el_nino
1998-02-18,77.663,168.1,1.8,regular_el_nino
1998-02-22,41.083,141.17,1.8,regular_el_nino
1998-02-24,70.954,156.8,1.8,regular_el_nino
1998-02-25,97.848,223.52,1.8,regular_el_nino
1998-03-04,47.34,91.83,2.1,super_el_nino
1998-03-05,48.115,99.08,2.114,super_el_nino
1998-03-06,57.519,92.81,2.129,super_el_nino
1998-03-14,52.379,185.16,2.157,super_el_nino
1998-03-17,52.772,109.87,2.114,super_el_nino
1998-03-20,73.757,157.27,2.043,super_el_nino
1998-03-23,42.654,104.48,1.957,regular_el_nino
1998-04-06,64.881,154.82,2.614,super_el_nino
